COSECHA,codmes,MADURACION,SALDO
202308,202405,9,4300379.62
202308,202406,10,3100826.25
202308,202407,11,2066485.3600000003
202308,202408,12,1532739.89
202308,202409,13,1293564.85
202308,202410,14,752953.5199999999
202308,202411,15,778773.8799999999
202308,202412,16,460223.6099999998
202308,202501,17,361861.57999999996
202308,202502,18,242343.09000000003
202308,202503,19,188624.45
202308,202504,20,186547.10000000003
202308,202505,21,119536.18000000001
202309,202309,0,338400.0
202309,202310,1,168957.36
202309,202311,2,2096706.36
202309,202312,3,6388274.719999999
202309,202401,4,8546794.120000001
202309,202402,5,6647985.9399999995
202309,202403,6,5605047.33
202309,202404,7,4899564.620000001
202309,202405,8,4452844.18
202309,202406,9,3319153.909999999
202309,202407,10,2254557.7
202309,202408,11,2086730.42
202309,202409,12,1330741.7000000002
202309,202410,13,1276320.8100000003
202309,202411,14,971285.5600000002
202309,202412,15,636027.2399999999
